Gene	Origen
PSMC3	Reactome
PSMC3IP	Reactome
PSMC4	Reactome
PSMC5	Reactome
PSMC6	Reactome
PSMD1	Reactome
PSMD10	Reactome
PSMD11	Reactome
PSMD12	Reactome
PSMD13	Reactome
PSMD14	Reactome
PSMD2	Reactome
PSMD3	Reactome
PSMD4	Reactome
PSMD5	Reactome
PSMD6	Reactome
PSMD7	Reactome
PSMD8	Reactome
PSMD9	Reactome
PSME1	Reactome
PSME2	Reactome
PSME3	Reactome
PSME4	Reactome
PSMF1	Reactome
PTTG1	KEGG & Reactome
PTTG2	KEGG
RAB1A	Reactome
RAB1B	Reactome
RAB2A	Reactome
RAB8A	Reactome
RAD1	Reactome
RAD17	Reactome
RAD21	KEGG & Reactome
RAD50	Reactome
RAD51	Reactome
RAD51C	Reactome
RAD9A	Reactome
RAD9B	Reactome
RAE1	Reactome
RANBP2	Reactome
RANGAP1	Reactome
RB1	KEGG & Reactome
RBBP4	Reactome
RBBP7	Reactome
RBBP8	Reactome
RBL1	KEGG & Reactome
RBL2	KEGG & Reactome
RBX1	KEGG
RCC2	Reactome
REC8	Reactome
RFC1	Reactome
RFC2	Reactome
RFC3	Reactome
RFC4	Reactome
RFC5	Reactome
RFWD2	Reactome
RNF168	Reactome
RNF8	Reactome
RPA1	Reactome
RPA2	Reactome
RPA3	Reactome
RPA4	Reactome
RPS27	Reactome
RPS27A	Reactome
RRM2	Reactome
RSF1	Reactome
RUVBL1	Reactome
RUVBL2	Reactome
SDCCAG8	Reactome
SEC13	Reactome
SEH1L	Reactome
SET	Reactome
SETD8	Reactome
SFI1	Reactome
SFN	KEGG & Reactome
SGOL1	Reactome
SGOL2	Reactome
SKA1	Reactome
SKA2	Reactome
SKP1	KEGG & Reactome
SKP2	KEGG & Reactome
SMAD2	KEGG
SMAD3	KEGG
SMAD4	KEGG
SMARCA5	Reactome
SMC1A	KEGG & Reactome
SMC1B	KEGG & Reactome
SMC2	Reactome
SMC3	KEGG & Reactome
SMC4	Reactome
SPC24	Reactome
SPC25	Reactome
SPDL1	Reactome
SPO11	Reactome
SSNA1	Reactome
STAG1	KEGG & Reactome
STAG2	KEGG & Reactome
STAG3	Reactome
STRA13	Reactome
SUMO1	Reactome
SUN1	Reactome
SUN2	Reactome
SYCE1	Reactome
SYCE2	Reactome
SYCP1	Reactome
SYCP2	Reactome
SYCP3	Reactome
SYNE1	Reactome
SYNE2	Reactome
TAOK1	Reactome
TERF1	Reactome
TERF2	Reactome
TERF2IP	Reactome
TERT	Reactome
TEX12	Reactome
TEX15	Reactome
TFDP1	KEGG & Reactome
TFDP2	KEGG & Reactome
TGFB1	KEGG
TGFB2	KEGG
TGFB3	KEGG
TINF2	Reactome
TK2	Reactome
TMPO	Reactome
TOP2A	Reactome
TOP3A	Reactome
TP53	KEGG & Reactome
TP53BP1	Reactome
TPR	Reactome
TTK	KEGG
TUBA1A	Reactome
TUBA1B	Reactome
TUBA1C	Reactome
TUBA3C	Reactome
TUBA3E	Reactome
TUBA4A	Reactome
TUBA4B	Reactome
TUBA8	Reactome
TUBAL3	Reactome
TUBB	Reactome
TUBB1	Reactome
TUBB2A	Reactome
TUBB2B	Reactome
TUBB3	Reactome
TUBB4A	Reactome
TUBB4B	Reactome
TUBB6	Reactome
TUBB8	Reactome
TUBG1	Reactome
TUBG2	Reactome
TUBGCP2	Reactome
TUBGCP3	Reactome
TUBGCP4	Reactome
TUBGCP5	Reactome
TUBGCP6	Reactome
Tubulin	Reactome
TYMS	Reactome
UBA52	Reactome
UBB	Reactome
UBC	Reactome
UBE2C	Reactome
UBE2D1	Reactome
UBE2E1	Reactome
UBE2I	Reactome
UBE2N	Reactome
UBE2V2	Reactome
UIMC1	Reactome
USO1	Reactome
VRK1	Reactome
VRK2	Reactome
WAPAL	Reactome
WEE1	KEGG & Reactome
